questionId,subject,unit,subunit,difficulty,mode,question,answer,choices,explanation,status,answerGroup,relatedQuestionIds,tags,svgAreaId,mapId,answerAlias,mapSelectionType,svgAreaIds
geo_pref_001,japan_geo,都道府県,全国（47都道府県）,1,map_click,北海道を選べ,北海道,,日本で最も面積が大きい都道府県,active,,,,hokkaido,japan_full_pref,,single,
geo_pref_002,japan_geo,都道府県,全国（47都道府県）,1,map_click,青森県を選べ,青森県,,リンゴ,active,,,,aomori,japan_full_pref,,single,
geo_pref_003,japan_geo,都道府県,全国（47都道府県）,1,map_click,岩手県を選べ,岩手県,,リアス海岸,active,,,,iwate,japan_full_pref,,single,
geo_pref_004,japan_geo,都道府県,全国（47都道府県）,1,map_click,宮城県を選べ,宮城県,,リアス海岸,active,,,,miyagi,japan_full_pref,,single,
geo_pref_005,japan_geo,都道府県,全国（47都道府県）,1,map_click,秋田県を選べ,秋田県,,米どころとして有名な県,active,,,,akita,japan_full_pref,,single,
geo_pref_006,japan_geo,都道府県,全国（47都道府県）,1,map_click,山形県を選べ,山形県,,さくらんぼで有名な県,active,,,,yamagata,japan_full_pref,,single,
geo_pref_007,japan_geo,都道府県,全国（47都道府県）,1,map_click,福島県を選べ,福島県,,ももで有名,active,,,,fukushima,japan_full_pref,,single,
geo_pref_008,japan_geo,都道府県,全国（47都道府県）,1,map_click,茨城県を選べ,茨城県,,県庁所在地は水戸市,active,,,,ibaraki,japan_full_pref,,single,
geo_pref_009,japan_geo,都道府県,全国（47都道府県）,1,map_click,栃木県を選べ,栃木県,,日光で有名な県,active,,,,tochigi,japan_full_pref,,single,
geo_pref_010,japan_geo,都道府県,全国（47都道府県）,1,map_click,群馬県を選べ,群馬県,,草津温泉で有名な県,active,,,,gunma,japan_full_pref,,single,
geo_pref_011,japan_geo,都道府県,全国（47都道府県）,1,map_click,埼玉県を選べ,埼玉県,,海に面していない関東地方の県,active,,,,saitama,japan_full_pref,,single,
geo_pref_012,japan_geo,都道府県,全国（47都道府県）,1,map_click,千葉県を選べ,千葉県,,ねぎ、石油化学コンビナート,active,,,,chiba,japan_full_pref,,single,
geo_pref_013,japan_geo,都道府県,全国（47都道府県）,1,map_click,東京都を選べ,東京都,,日本の首都,active,,,,tokyo,japan_full_pref,東京|とうきょう,single,
geo_pref_014,japan_geo,都道府県,全国（47都道府県）,1,map_click,神奈川県を選べ,神奈川県,,京浜工業地帯で車を作る,active,,,,kanagawa,japan_full_pref,かながわ,single,
geo_pref_015,japan_geo,都道府県,全国（47都道府県）,1,map_click,新潟県を選べ,新潟県,,日本海に面する米どころの県,active,,,,niigata,japan_full_pref,,single,
geo_pref_016,japan_geo,都道府県,全国（47都道府県）,1,map_click,富山県を選べ,富山県,,富山湾で有名な県,active,,,,toyama,japan_full_pref,,single,
geo_pref_017,japan_geo,都道府県,全国（47都道府県）,1,map_click,石川県を選べ,石川県,,県庁所在地は金沢市,active,,,,ishikawa,japan_full_pref,,single,
geo_pref_018,japan_geo,都道府県,全国（47都道府県）,1,map_click,福井県を選べ,福井県,,東尋坊で有名な県,active,,,,fukui,japan_full_pref,,single,
geo_pref_019,japan_geo,都道府県,全国（47都道府県）,1,map_click,山梨県を選べ,山梨県,,ぶどうやももで有名な県,active,,,,yamanashi,japan_full_pref,,single,
geo_pref_020,japan_geo,都道府県,全国（47都道府県）,1,map_click,長野県を選べ,長野県,,日本アルプスがある内陸県,active,,,,nagano,japan_full_pref,,single,
geo_pref_021,japan_geo,都道府県,全国（47都道府県）,1,map_click,岐阜県を選べ,岐阜県,,白川郷で有名な県,active,,,,gifu,japan_full_pref,,single,
geo_pref_022,japan_geo,都道府県,全国（47都道府県）,1,map_click,静岡県を選べ,静岡県,,お茶の生産で有名な県,active,,,,shizuoka,japan_full_pref,,single,
geo_pref_023,japan_geo,都道府県,全国（47都道府県）,1,map_click,愛知県を選べ,愛知県,,県庁所在地は名古屋市,active,,,,aichi,japan_full_pref,,single,
geo_pref_024,japan_geo,都道府県,全国（47都道府県）,1,map_click,三重県を選べ,三重県,,伊勢神宮で有名な県,active,,,,mie,japan_full_pref,,single,
geo_pref_025,japan_geo,都道府県,全国（47都道府県）,1,map_click,滋賀県を選べ,滋賀県,,琵琶湖がある県,active,,,,shiga,japan_full_pref,,single,
geo_pref_026,japan_geo,都道府県,全国（47都道府県）,1,map_click,京都府を選べ,京都府,,歴史的な寺社が多い府,active,,,,kyoto,japan_full_pref,京都|きょうと,single,
