questionId,subject,unit,subunit,difficulty,mode,question,answer,choices,explanation,status,answerGroup,relatedQuestionIds,tags,imagePath
bio_001,biology,細胞,動物細胞,1,choice,動物細胞に見られるが植物細胞には見られないつくりはどれか。,中心体,核|細胞膜|中心体|ミトコンドリア,動物細胞には中心体が見られるが、植物細胞には通常見られません。,active,,,,
bio_002,biology,細胞,植物細胞,1,choice,植物細胞に見られるが動物細胞には見られないつくりはどれか。,細胞壁,核|細胞壁|細胞膜|ミトコンドリア,植物細胞は細胞壁によって形が保たれています。,active,,,,
bio_003,biology,細胞,細胞の共通点,1,text,動物細胞と植物細胞の両方に共通して存在する、遺伝情報を含むつくりを何というか。,核,,核には遺伝情報を含むDNAが存在します。,active,,,,
bio_004,biology,植物のつくりとはたらき,光合成,1,choice,植物が光のエネルギーを使って二酸化炭素と水からデンプンと酸素をつくるはたらきを何というか。,光合成,呼吸|光合成|蒸散|発芽,光合成は主に葉の葉緑体で行われます。,active,,,,
bio_005,biology,植物のつくりとはたらき,蒸散,1,text,植物の葉にある気孔から水蒸気が出ていく現象を何というか。,蒸散,,蒸散は主に葉の気孔で行われます。,active,,,,
bio_006,biology,植物のつくりとはたらき,葉緑体,1,choice,光合成が行われる細胞内のつくりはどれか。,葉緑体,核|葉緑体|細胞壁|液胞,葉緑体には光合成色素が含まれています。,active,,,,
bio_007,biology,動物の体のつくりとはたらき,消化,1,text,デンプンを分解する消化酵素を1つ答えなさい。,アミラーゼ,,だ液に含まれるアミラーゼはデンプンを分解します。,active,,,,
bio_008,biology,動物の体のつくりとはたらき,呼吸,1,choice,ヒトが呼吸によって体内に取り入れる気体はどれか。,酸素,酸素|二酸化炭素|窒素|水素,呼吸では酸素を取り入れ二酸化炭素を排出します。,active,,,,
bio_009,biology,動物の体のつくりとはたらき,血液循環,1,choice,酸素を運ぶ血液の成分はどれか。,赤血球,赤血球|白血球|血小板|血しょう,赤血球にはヘモグロビンが含まれ、酸素を運びます。,active,,,,
bio_010,biology,生殖と遺伝,遺伝,1,text,親の形質が子に伝わる現象を何というか。,遺伝,,遺伝は染色体上の遺伝子によって受け継がれます。,active,,,,
bio_011,biology,細胞,細胞膜,1,text,細胞の最も外側にあり、物質の出入りを調節するうすい膜を何というか。,細胞膜,,細胞膜はすべての細胞に共通して存在し、物質の出入りを調節します。,active,,,,
bio_012,biology,細胞,細胞質,1,choice,核のまわりにあり、細胞膜に包まれた部分をまとめて何というか。,細胞質,細胞質|細胞壁|核|液胞,核のまわりの細胞膜に包まれた部分をまとめて細胞質といいます。,active,,,,
bio_013,biology,細胞,液胞,1,choice,植物の細胞で、成長した細胞に特に大きく見られる、不要な物質などをたくわえるつくりはどれか。,液胞,核|液胞|細胞壁|細胞膜,液胞には不要な物質や色素などがたくわえられます。,active,,,,
bio_014,biology,細胞,単細胞生物,1,text,からだが1つの細胞だけでできている生物を何というか。,単細胞生物,,ゾウリムシやミカヅキモなどは1つの細胞で生活する単細胞生物です。,active,,,,
bio_015,biology,細胞,多細胞生物,1,choice,ヒトのように、からだが多くの細胞からできている生物を何というか。,多細胞生物,単細胞生物|多細胞生物|微生物|原生生物,ヒトの体は多数の細胞が集まってできている多細胞生物です。,active,,,,
bio_016,biology,細胞,組織,1,text,形やはたらきが同じ細胞が集まってできた、からだのまとまりを何というか。,組織,,同じ形・はたらきの細胞の集まりを組織といいます。,active,,,,
bio_017,biology,細胞,器官,1,choice,いくつかの組織が集まり、決まったはたらきをするからだの部分を何というか。,器官,組織|器官|細胞|個体,組織が集まって特定のはたらきをする部分を器官といいます。,active,,,,
bio_018,biology,細胞,核のはたらき,1,text,細胞の中で、生命活動に必要な遺伝情報をたくわえているつくりを何というか。,核,,核には遺伝情報をもつDNAが含まれています。,active,,,,
bio_019,biology,細胞,細胞壁のはたらき,1,choice,植物の細胞で、細胞の形を保ち、からだを支えるはたらきをするつくりはどれか。,細胞壁,細胞膜|細胞壁|液胞|核,細胞壁はじょうぶなつくりで、植物のからだを支えます。,active,,,,
bio_020,biology,植物のつくりとはたらき,道管,1,text,根から吸収した水や養分の通り道となる管を何というか。,道管,,道管は根から吸い上げた水や養分を運ぶ通り道です。,active,,,,
bio_021,biology,植物のつくりとはたらき,師管,1,choice,葉でつくられた栄養分の通り道となる管はどれか。,師管,道管|師管|気孔|維管束,師管は葉でつくられた栄養分を運ぶ通り道です。,active,,,,
bio_022,biology,植物のつくりとはたらき,維管束,1,text,道管と師管が集まった束を何というか。,維管束,,道管と師管が集まったものを維管束といいます。,active,,,,
bio_023,biology,植物のつくりとはたらき,気孔,1,choice,葉の裏側に多く見られる、気体の出入り口となる小さな穴を何というか。,気孔,気孔|道管|師管|葉緑体,気孔は主に葉の裏側に多く見られる小さな穴です。,active,,,,
bio_024,biology,植物のつくりとはたらき,光合成の材料,1,choice,光合成のときに植物が空気中から取り入れる気体はどれか。,二酸化炭素,酸素|二酸化炭素|窒素|水素,光合成では二酸化炭素と水からデンプンと酸素がつくられます。,active,,,,
bio_025,biology,植物のつくりとはたらき,光合成の生成物,1,text,光合成によって葉緑体でつくられる栄養分は何か。,デンプン,,光合成では水と二酸化炭素からデンプンと酸素がつくられます。,active,,,,
bio_026,biology,植物のつくりとはたらき,植物の呼吸,1,choice,植物が一日中行っている、酸素を取り入れ二酸化炭素を出すはたらきを何というか。,呼吸,光合成|呼吸|蒸散|発芽,植物も動物と同じように一日中呼吸を行っています。,active,,,,
bio_027,biology,植物のつくりとはたらき,花のつくり,1,text,花の中心にあり、受粉すると実になる部分を何というか。,めしべ,,めしべの根もとの子房が受粉後に果実になります。,active,,,,
bio_028,biology,植物のつくりとはたらき,花のつくり,1,choice,花粉をつくる部分はどれか。,おしべ,めしべ|おしべ|がく|花弁,おしべの先のやくで花粉がつくられます。,active,,,,
bio_029,biology,植物のつくりとはたらき,受粉,1,text,おしべの花粉がめしべの柱頭につくことを何というか。,受粉,,受粉が起こると、やがて子房が果実に、胚珠が種子になります。,active,,,,
bio_030,biology,動物の体のつくりとはたらき,消化液,1,choice,胃から出される消化液を何というか。,胃液,だ液|胃液|胆汁|すい液,胃液にはペプシンという消化酵素が含まれ、タンパク質を分解します。,active,,,,
bio_031,biology,動物の体のつくりとはたらき,消化酵素,1,text,胃液に含まれ、タンパク質を分解する消化酵素は何か。,ペプシン,,ペプシンは胃液に含まれ、タンパク質を分解する消化酵素です。,active,,,,
bio_032,biology,動物の体のつくりとはたらき,肝臓,1,choice,胆汁をつくる器官はどれか。,肝臓,肝臓|すい臓|胃|小腸,肝臓でつくられた胆汁は脂肪の消化を助けます。,active,,,,
bio_033,biology,動物の体のつくりとはたらき,すい臓,1,text,消化酵素を含むすい液を出す器官を何というか。,すい臓,,すい臓から出るすい液には多くの消化酵素が含まれます。,active,,,,
bio_034,biology,動物の体のつくりとはたらき,吸収,1,choice,小腸の内側にある、栄養分を吸収するための小さな突起を何というか。,柔毛,柔毛|繊毛|肺胞|糸球体,柔毛によって小腸の表面積が広がり、効率よく栄養分を吸収できます。,active,,,,
bio_035,biology,動物の体のつくりとはたらき,呼吸器官,1,text,肺の中にある、酸素と二酸化炭素の交換を行う小さな袋状のつくりを何というか。,肺胞,,肺胞のまわりの毛細血管でガス交換が行われます。,active,,,,
bio_036,biology,動物の体のつくりとはたらき,心臓のつくり,1,choice,心臓で血液を送り出す部屋を何というか。,心室,心房|心室|肺胞|柔毛,心臓は心房と心室に分かれ、心室が収縮して血液を送り出します。,active,,,,
bio_037,biology,動物の体のつくりとはたらき,血管,1,choice,心臓から送り出される血液が流れる血管を何というか。,動脈,動脈|静脈|毛細血管|リンパ管,心臓から送り出される血液が流れる血管を動脈といいます。,active,,,,
bio_038,biology,動物の体のつくりとはたらき,排出,1,text,タンパク質が分解されるときにできる有害な物質を、肝臓で無害な物質に変えたものは何か。,尿素,,アンモニアは肝臓で害の少ない尿素に変えられ、腎臓でこし出されます。,active,,,,
bio_039,biology,動物の体のつくりとはたらき,排出器官,1,choice,血液中の尿素などの不要な物質をこし出す器官はどれか。,腎臓,腎臓|肝臓|肺|小腸,腎臓で血液がろ過され、尿素などの不要な物質が尿として排出されます。,active,,,,
bio_040,biology,動物の体のつくりとはたらき,神経,1,text,熱いものに触れて思わず手を引っこめるような、意識とは関係なく起こる反応を何というか。,反射,,反射は脳を経由せず、せきずいなどの命令で無意識に起こる反応です。,active,,,,
bio_041,biology,生殖と遺伝,無性生殖,1,text,受精を行わず、親のからだの一部から新しい個体をつくる生殖を何というか。,無性生殖,,ジャガイモの栄養生殖などは無性生殖の一種です。,active,,,,
bio_042,biology,生殖と遺伝,有性生殖,1,choice,雌雄の生殖細胞が受精することで新しい個体をつくる生殖を何というか。,有性生殖,無性生殖|有性生殖|栄養生殖|分裂,精子と卵など雌雄の生殖細胞の受精による生殖を有性生殖といいます。,active,,,,
bio_043,biology,生殖と遺伝,生殖細胞,1,choice,動物の雌がつくる生殖細胞を何というか。,卵,精子|卵|受精卵|胚,雌がつくる生殖細胞を卵、雄がつくる生殖細胞を精子といいます。,active,,,,
bio_044,biology,生殖と遺伝,受精,1,text,精子の核と卵の核が合体することを何というか。,受精,,精子と卵の核が合体することを受精といい、受精卵ができます。,active,,,,
bio_045,biology,生殖と遺伝,染色体,1,text,細胞の核の中にあり、遺伝子を含む糸状のつくりを何というか。,染色体,,染色体には遺伝子の本体であるDNAが含まれています。,active,,,,
bio_046,biology,生殖と遺伝,減数分裂,1,choice,生殖細胞がつくられるとき、染色体の数がもとの細胞の半分になる細胞分裂を何というか。,減数分裂,体細胞分裂|減数分裂|受精|発生,減数分裂によって生殖細胞の染色体数はもとの半分になります。,active,,,,
bio_047,biology,生殖と遺伝,遺伝子の本体,1,text,遺伝子の本体である物質をアルファベット3文字で何というか。,DNA,,遺伝子の本体はDNA(デオキシリボ核酸)という物質です。,active,,,,
bio_048,biology,生殖と遺伝,対立形質,1,choice,同時に現れない、対をなす形質を何というか。,対立形質,対立形質|顕性形質|潜性形質|遺伝子,エンドウの丸い種子としわのある種子のように、同時に現れない形質を対立形質といいます。,active,,,,
bio_049,biology,生殖と遺伝,顕性形質,1,text,対立形質の純系をかけ合わせたとき、子に現れる形質を何というか。,顕性形質,,対立形質の純系をかけ合わせると子には顕性形質が現れます。,active,,,,
bio_050,biology,生殖と遺伝,潜性形質,1,choice,対立形質の純系をかけ合わせたとき、子に現れない形質を何というか。,潜性形質,顕性形質|潜性形質|対立形質|突然変異,子に現れない方の形質を潜性形質といいます。,active,,,,
bio_051,biology,動物の体のつくりとはたらき,消化酵素,1,text,すい液に含まれ、タンパク質を分解する消化酵素は何か。,トリプシン,,トリプシンはすい液に含まれ、タンパク質を分解する消化酵素です。,active,,,,
bio_052,biology,動物の体のつくりとはたらき,消化酵素,1,choice,脂肪を分解する消化酵素はどれか。,リパーゼ,アミラーゼ|ペプシン|トリプシン|リパーゼ,リパーゼはすい液に含まれ、脂肪を分解する消化酵素です。,active,,,,
bio_053,biology,動物の体のつくりとはたらき,神経,1,text,脳とせきずいをまとめて何神経というか。,中枢神経,,脳とせきずいは、判断や命令の中心となる中枢神経です。,active,,,,
bio_054,biology,動物の体のつくりとはたらき,神経,1,choice,感覚器官からの信号を中枢神経に伝えたり、中枢神経からの命令を運動器官に伝えたりする、中枢神経以外の神経を何というか。,末しょう神経,中枢神経|末しょう神経|反射|感覚器官,脳・せきずい以外の、からだ中に広がる神経を末しょう神経といいます。,active,,,,
bio_055,biology,生殖と遺伝,分離の法則,1,choice,丸い種子(顕性)としわのある種子(潜性)の純系をかけ合わせてできた子(すべて丸い種子)を自家受粉させた。孫の代では、丸い種子としわのある種子の数の比はおよそどうなるか。,3:1,1:1|2:1|3:1|4:1,分離の法則により、孫の代では顕性形質:潜性形質がおよそ3:1になります。,active,,,,
bio_056,biology,細胞,動物細胞と植物細胞の共通点(図),1,choice,図のA〜Fのうち、動物細胞にも植物細胞にも共通して見られるつくりの組み合わせはどれか。,AとF(核),AとF(核)|CとD|BとE|DとE,核は動物細胞にも植物細胞にも共通して存在するつくりです。図ではA(動物細胞の核)とF(植物細胞の核)がこれにあたります。,active,,,,assets/questions/biology-cell-comparison.svg
bio_057,biology,細胞,植物細胞に特有のつくり(図),1,choice,図のA〜Fのうち、植物細胞だけに見られ、動物細胞には見られないつくりの組み合わせとして正しいものはどれか。,CとDとE(細胞壁・葉緑体・液胞),CとDとE(細胞壁・葉緑体・液胞)|AとBとF|AとCとE|BとDとF,細胞壁・葉緑体・液胞は植物細胞に特有のつくりで、動物細胞には見られません。図のC・D・Eがこれにあたります。,active,,,,assets/questions/biology-cell-comparison.svg
bio_058,biology,植物のつくりとはたらき,花のつくり(図・子房),1,choice,図のA〜Eのうち、受粉のあと成長して果実になる部分はどれか。,E,E|A|C|D,めしべの根もとにある子房は、受粉のあと成長して果実になります。図のEが子房です。,active,,,,assets/questions/biology-flower-basic.svg
bio_059,biology,植物のつくりとはたらき,花のつくり(図・やく),1,choice,図のA〜Eのうち、花粉がつくられる部分はどれか。,C,C|A|B|D,おしべの先にあるやくで花粉がつくられます。図のCがやくです。,active,,,,assets/questions/biology-flower-basic.svg
bio_060,biology,動物の体のつくりとはたらき,消化器官(図・胆汁),1,choice,図のA〜Gのうち、胆汁をつくる器官はどれか。,F,F|C|D|G,胆汁は肝臓でつくられ、脂肪の消化を助けます。図のFが肝臓です。,active,,,,assets/questions/biology-digestive-system.svg
bio_061,biology,動物の体のつくりとはたらき,消化管の順序(図),1,choice,図のように口から入った食物が通る消化管の順序として正しいものはどれか。,A→B→C→D→E,A→B→C→D→E|A→C→B→D→E|A→B→D→C→E|A→C→B→E→D,食物は口(A)→食道(B)→胃(C)→小腸(D)→大腸(E)の順に消化管を通ります。,active,,,,assets/questions/biology-digestive-system.svg
bio_062,biology,動物の体のつくりとはたらき,消化器官(図・吸収),1,choice,図のA〜Gのうち、消化された栄養分を主に吸収する器官はどれか。,D,D|C|E|A,小腸の内側には柔毛があり、消化された栄養分を効率よく吸収します。図のDが小腸です。,active,,,,assets/questions/biology-digestive-system.svg
bio_063,biology,動物の体のつくりとはたらき,血液循環の経路(図),1,choice,図のように、心臓から肺へ送られた血液が再び心臓にもどる血液の経路をアとする。アのような血液の流れを何というか。,肺循環,肺循環|体循環|動脈|静脈,心臓から肺を通って再び心臓にもどる血液の経路を肺循環といいます。,active,,,,assets/questions/biology-circulation-basic.svg
bio_064,biology,生殖と遺伝,体細胞分裂の順序(図),1,choice,図のア〜ウは、体細胞分裂が進むようすを順不同に表したものである。分裂が進む正しい順序はどれか。,ア→イ→ウ,ア→イ→ウ|イ→ア→ウ|ウ→ア→イ|ア→ウ→イ,体細胞分裂では、まず染色体が現れ(ア)、染色体が細胞の中央に集まり(イ)、その後2つの細胞に分かれます(ウ)。,active,,,,assets/questions/biology-cell-division-basic.svg
bio_065,biology,動物の体のつくりとはたらき,反射の経路(図),1,choice,図のように、皮膚が受けた刺激が感覚神経を通ってせきずいに伝わり、せきずいから直接運動神経に命令が伝わって反応が起こる。このように、脳を経由しない反応を何というか。,反射,反射|意識的な反応|随意運動|感覚,刺激に対して脳を経由せず、せきずいなどが命令を出して無意識に起こる反応を反射といいます。,active,,,,assets/questions/biology-reflex-pathway.svg
