questionId,subject,unit,subunit,difficulty,mode,question,answer,choices,explanation,status,answerGroup,relatedQuestionIds,tags,svgAreaId,mapId,answerAlias,mapSelectionType,svgAreaIds
geo_world_country_001,world_geo,国名,全世界,1,map_click,中国を選べ,中国,,東アジアの大国,active,,,,CN,world_countries_edu,,single,
geo_world_country_002,world_geo,国名,全世界,1,map_click,韓国を選べ,韓国,,朝鮮半島南部の国,active,,,,KR,world_countries_edu,,single,
geo_world_country_003,world_geo,国名,全世界,1,map_click,インドを選べ,インド,,南アジアの大国,active,,,,IN,world_countries_edu,,single,
geo_world_country_004,world_geo,国名,全世界,1,map_click,タイを選べ,タイ,,東南アジアの国,active,,,,TH,world_countries_edu,,single,
geo_world_country_005,world_geo,国名,全世界,1,map_click,ベトナムを選べ,ベトナム,,東南アジアの国,active,,,,VN,world_countries_edu,,single,
geo_world_country_006,world_geo,国名,全世界,1,map_click,カンボジアを選べ,カンボジア,,東南アジアの国,active,,,,KH,world_countries_edu,,single,
geo_world_country_007,world_geo,国名,全世界,1,map_click,フィリピンを選べ,フィリピン,,島国国家,active,,,,PH,world_countries_edu,,single,
geo_world_country_008,world_geo,国名,全世界,1,map_click,インドネシアを選べ,インドネシア,,赤道付近の島国,active,,,,ID,world_countries_edu,,single,
geo_world_country_009,world_geo,国名,全世界,1,map_click,マレーシアを選べ,マレーシア,,東南アジアの国,active,,,,MY,world_countries_edu,,single,
geo_world_country_010,world_geo,国名,全世界,1,map_click,シンガポールを選べ,シンガポール,,都市国家,hidden,,,,SG,world_countries_edu,,single,
geo_world_country_011,world_geo,国名,全世界,1,map_click,サウジアラビアを選べ,サウジアラビア,,アラビア半島の国,active,,,,SA,world_countries_edu,,single,
geo_world_country_012,world_geo,国名,全世界,1,map_click,ドイツを選べ,ドイツ,,ヨーロッパの工業国,active,,,,DE,world_countries_edu,,single,
geo_world_country_013,world_geo,国名,全世界,1,map_click,イギリスを選べ,イギリス,,ヨーロッパの島国,active,,,,GB,world_countries_edu,,single,
geo_world_country_014,world_geo,国名,全世界,1,map_click,フランスを選べ,フランス,,西ヨーロッパの国,active,,,,FR,world_countries_edu,,single,
geo_world_country_015,world_geo,国名,全世界,1,map_click,イタリアを選べ,イタリア,,長靴形の国,active,,,,IT,world_countries_edu,,single,
geo_world_country_016,world_geo,国名,全世界,1,map_click,スペインを選べ,スペイン,,イベリア半島の国,active,,,,ES,world_countries_edu,,single,
geo_world_country_017,world_geo,国名,全世界,1,map_click,ポルトガルを選べ,ポルトガル,,イベリア半島西部の国,active,,,,PT,world_countries_edu,,single,
geo_world_country_018,world_geo,国名,全世界,1,map_click,オランダを選べ,オランダ,,干拓で有名な国,active,,,,NL,world_countries_edu,,single,
geo_world_country_019,world_geo,国名,全世界,1,map_click,スイスを選べ,スイス,,アルプス山脈の国,hidden,,,,CH,world_countries_edu,,single,
geo_world_country_020,world_geo,国名,全世界,1,map_click,スウェーデンを選べ,スウェーデン,,北ヨーロッパの国,active,,,,SE,world_countries_edu,,single,
geo_world_country_021,world_geo,国名,全世界,1,map_click,ノルウェーを選べ,ノルウェー,,フィヨルドで有名な国,active,,,,NO,world_countries_edu,,single,
geo_world_country_022,world_geo,国名,全世界,1,map_click,ロシアを選べ,ロシア,,世界最大の面積を持つ国,active,,,,RU,world_countries_edu,,single,
geo_world_country_023,world_geo,国名,全世界,1,map_click,エジプトを選べ,エジプト,,ナイル川流域の国,active,,,,EG,world_countries_edu,,single,
geo_world_country_024,world_geo,国名,全世界,1,map_click,ナイジェリアを選べ,ナイジェリア,,人口の多いアフリカの国,active,,,,NG,world_countries_edu,,single,
geo_world_country_025,world_geo,国名,全世界,1,map_click,南アフリカを選べ,南アフリカ,,アフリカ最南部の国,active,,,,ZA,world_countries_edu,,single,
geo_world_country_026,world_geo,国名,全世界,1,map_click,ガーナを選べ,ガーナ,,カカオ生産で有名な国,active,,,,GH,world_countries_edu,,single,
geo_world_country_027,world_geo,国名,全世界,1,map_click,ケニアを選べ,ケニア,,東アフリカの国,active,,,,KE,world_countries_edu,,single,
geo_world_country_028,world_geo,国名,全世界,1,map_click,コートジボワールを選べ,コートジボワール,,西アフリカの国,active,,,,CI,world_countries_edu,,single,
geo_world_country_029,world_geo,国名,全世界,1,map_click,カナダを選べ,カナダ,,北アメリカ北部の国,active,,,,CA,world_countries_edu,,single,
geo_world_country_030,world_geo,国名,全世界,1,map_click,アメリカを選べ,アメリカ,,北アメリカの大国,active,,,,US,world_countries_edu,,single,
geo_world_country_031,world_geo,国名,全世界,1,map_click,メキシコを選べ,メキシコ,,北アメリカ南部の国,active,,,,MX,world_countries_edu,,single,
geo_world_country_032,world_geo,国名,全世界,1,map_click,ドミニカを選べ,ドミニカ,,カリブ海の国,active,,,,DO,world_countries_edu,,single,
geo_world_country_033,world_geo,国名,全世界,1,map_click,キューバを選べ,キューバ,,カリブ海最大の島国,active,,,,CU,world_countries_edu,,single,
geo_world_country_034,world_geo,国名,全世界,1,map_click,ブラジルを選べ,ブラジル,,南アメリカ最大の国,active,,,,BR,world_countries_edu,,single,
geo_world_country_035,world_geo,国名,全世界,1,map_click,アルゼンチンを選べ,アルゼンチン,,南アメリカ南部の国,active,,,,AR,world_countries_edu,,single,
geo_world_country_036,world_geo,国名,全世界,1,map_click,チリを選べ,チリ,,南北に細長い国,active,,,,CL,world_countries_edu,,single,
geo_world_country_037,world_geo,国名,全世界,1,map_click,ペルーを選べ,ペルー,,アンデス山脈の国,active,,,,PE,world_countries_edu,,single,
geo_world_country_038,world_geo,国名,全世界,1,map_click,コロンビアを選べ,コロンビア,,南アメリカ北西部の国,active,,,,CO,world_countries_edu,,single,
geo_world_country_039,world_geo,国名,全世界,1,map_click,オーストラリアを選べ,オーストラリア,,オセアニア最大の国,active,,,,AU,world_countries_edu,,single,
