questionId,subject,unit,subunit,difficulty,mode,question,answer,choices,explanation,status,answerGroup,relatedQuestionIds,tags,answerAlias,sortGroup,sortItems,eraCorrect,year,documentId,timelineGroup,imagePath
h_era_001,history,古代,飛鳥,1,era,大化の改新が行われた時代を選びなさい。,飛鳥,,中大兄皇子・中臣鎌足らが政治改革を進めた時代です。,active,era_asuka_01,,,飛鳥,,,飛鳥,645,,,
h_era_002,history,古代,奈良,1,era,平城京が置かれた時代を選びなさい。,奈良,,710年に都が平城京に移されました。,active,era_nara_01,,,奈良,,,奈良,710,,,
h_era_003,history,古代,平安,1,era,遣唐使が廃止された時代を選びなさい。,平安,,894年、菅原道真の提案で遣唐使が廃止されました。,active,era_heian_01,,,平安,,,平安,894,,,
h_era_004,history,近代,明治,1,era,廃藩置県が行われた時代を選びなさい。,明治前期,,1871年、藩を廃止して県を置きました。,active,era_meiji_01,,,明治前期,,,明治前期,1871,,,
h_sort_001,history,古代,,2,sort,次の出来事を古い順に並べ替えなさい。,大化の改新|平城京遷都|平安京遷都|鎌倉幕府成立,,大化の改新→平城京遷都→平安京遷都→鎌倉幕府成立の順です。,active,sort_ancient_01,,,,sort_ancient_01,大化の改新|平城京遷都|平安京遷都|鎌倉幕府成立,,,,,
h_sort_002,history,中世,,2,sort,次の出来事を古い順に並べ替えなさい。,応仁の乱|鉄砲伝来|関ヶ原の戦い|江戸幕府成立,,応仁の乱→鉄砲伝来→関ヶ原の戦い→江戸幕府成立の順です。,active,sort_medieval_01,,,,sort_medieval_01,応仁の乱|鉄砲伝来|関ヶ原の戦い|江戸幕府成立,,,,,
h_sort_003,history,近代,,2,sort,次の出来事を古い順に並べ替えなさい。,日清戦争|日露戦争|韓国併合|第一次世界大戦,,日清戦争→日露戦争→韓国併合→第一次世界大戦の順です。,active,sort_modern_01,,,,sort_modern_01,日清戦争|日露戦争|韓国併合|第一次世界大戦,,,,,
h_sort_004,history,近代,,2,sort,次の出来事を古い順に並べ替えなさい。,五箇条の御誓文|廃藩置県|大日本帝国憲法発布|日清戦争,,五箇条の御誓文→廃藩置県→大日本帝国憲法発布→日清戦争の順です。,active,sort_modern_02,,,,sort_modern_02,五箇条の御誓文|廃藩置県|大日本帝国憲法発布|日清戦争,,,,,
history_text_test_001,history,古代,飛鳥時代,1,text,大化の改新が始まった年を答えなさい。,645,,中大兄皇子と中臣鎌足が進めた改革。645年。,active,,,,,,,,,,,
history_choice_test_001,history,近代,明治,1,choice,明治維新の中心人物として最も適切なものを選びなさい。,西郷隆盛,徳川家康|西郷隆盛|藤原道長|足利義満,明治維新では薩摩・長州などの人物が中心となった。,active,,,,,,,,,,,
h_june3_001,history,第一次世界大戦とロシア革命,三国同盟,1,choice,第一次世界大戦前、ドイツ・オーストリア・イタリアが結んだ同盟を何というか。,三国同盟,三国同盟|三国協商|連合国|国際連盟,ドイツ・オーストリア・イタリアの3か国の組み合わせを「三国同盟」と覚えよう。,active,,,六月中3|前期期末,,,,,,,,
h_june3_002,history,第一次世界大戦とロシア革命,三国同盟,1,choice,三国同盟を結んだ3か国の組み合わせとして正しいものを選びなさい。,ドイツ・オーストリア・イタリア,ドイツ・オーストリア・イタリア|イギリス・フランス・ロシア|ドイツ・フランス・ロシア|イギリス・オーストリア・イタリア,三国同盟の3か国は、ドイツ・オーストリア・イタリア。国名を3つまとめて覚えよう。,active,,,六月中3|前期期末,,,,,,,,
h_june3_003,history,第一次世界大戦とロシア革命,三国同盟,1,choice,ドイツ・オーストリアと三国同盟を結んだ国はどこか。,イタリア,イタリア|フランス|ロシア|イギリス,三国同盟はドイツ・オーストリア・イタリア。この3か国の組み合わせを覚えよう。,active,,,六月中3|前期期末,,,,,,,,
h_june3_006,history,第一次世界大戦とロシア革命,三国同盟,2,choice,次のうち、三国同盟に含まれない国はどこか。,イギリス,イギリス|ドイツ|オーストリア|イタリア,三国同盟はドイツ・オーストリア・イタリアなので、イギリスは含まれない。,active,,,六月中3|前期期末,,,,,,,,
h_june3_007,history,第一次世界大戦とロシア革命,三国協商,1,choice,第一次世界大戦前、イギリス・フランス・ロシアの協力体制を何というか。,三国協商,三国協商|三国同盟|同盟国|国際連盟,イギリス・フランス・ロシアの3か国の協力関係を「三国協商」という。,active,,,六月中3|前期期末,,,,,,,,
h_june3_008,history,第一次世界大戦とロシア革命,三国協商,1,choice,三国協商を結んだ3か国の組み合わせとして正しいものを選びなさい。,イギリス・フランス・ロシア,イギリス・フランス・ロシア|ドイツ・オーストリア・イタリア|イギリス・ドイツ・ロシア|フランス・オーストリア・イタリア,三国協商の3か国は、イギリス・フランス・ロシア。三国同盟と区別しよう。,active,,,六月中3|前期期末,,,,,,,,
h_june3_009,history,第一次世界大戦とロシア革命,三国協商,1,choice,イギリス・フランスと三国協商を結んだ国はどこか。,ロシア,ロシア|ドイツ|イタリア|オーストリア,三国協商はイギリス・フランス・ロシア。この3か国をセットで覚えよう。,active,,,六月中3|前期期末,,,,,,,,
h_june3_012,history,第一次世界大戦とロシア革命,三国協商,2,choice,次のうち、三国協商に含まれない国はどこか。,ドイツ,ドイツ|イギリス|フランス|ロシア,三国協商はイギリス・フランス・ロシアなので、ドイツは含まれない。,active,,,六月中3|前期期末,,,,,,,,
h_june3_013,history,第一次世界大戦とロシア革命,第一次世界大戦,1,choice,第一次世界大戦のきっかけとなった事件は何か。,サラエボ事件,サラエボ事件|米騒動|五・四運動|ロシア革命,オーストリアの皇太子夫妻が暗殺されたサラエボ事件が、第一次世界大戦のきっかけになった。,active,,,六月中3|前期期末,,,,,,,,
h_june3_014,history,第一次世界大戦とロシア革命,第一次世界大戦,1,choice,サラエボ事件をきっかけに1914年に始まった戦争は何か。,第一次世界大戦,第一次世界大戦|日露戦争|日清戦争|第二次世界大戦,1914年、サラエボ事件をきっかけに第一次世界大戦が始まった。,active,,,六月中3|前期期末,,,,,,,,
h_june3_015,history,第一次世界大戦とロシア革命,第一次世界大戦,2,choice,軍人だけでなく国民や産業も戦争に総動員された戦い方を何というか。,総力戦,総力戦|冷戦|局地戦|植民地戦争,兵士だけでなく、国民・産業・経済まで国全体を戦争に動員する戦い方を「総力戦」という。,active,,,六月中3|前期期末,,,,,,,,
h_june3_016,history,第一次世界大戦とロシア革命,日本の参戦,1,choice,第一次世界大戦に日本が参戦したとき、理由とした同盟は何か。,日英同盟,日英同盟|三国同盟|日独伊三国同盟|日ソ中立条約,日本はイギリスと結んでいた日英同盟を理由に、第一次世界大戦へ参戦した。,active,,,六月中3|前期期末,,,,,,,,
h_june3_017,history,第一次世界大戦とロシア革命,日本の参戦,1,choice,第一次世界大戦で日本はどちらの側に立って参戦したか。,連合国側,連合国側|同盟国側|中立国側|ソ連側,日本はイギリスなどと同じ連合国側で第一次世界大戦に参戦した。,active,,,六月中3|前期期末,,,,,,,,
h_june3_018,history,第一次世界大戦とロシア革命,二十一か条の要求,1,choice,第一次世界大戦中、日本が中国に出した要求を何というか。,二十一か条の要求,二十一か条の要求|ベルサイユ条約|ポーツマス条約|不戦条約,第一次世界大戦中、日本は中国に対して「二十一か条の要求」を出した。,active,,,六月中3|前期期末,,,,,,,,
h_june3_019,history,第一次世界大戦とロシア革命,二十一か条の要求,1,choice,二十一か条の要求を出した国はどこか。,日本,日本|中国|ロシア|アメリカ,二十一か条の要求は、日本が中国に出した要求。出した国と出された国を逆にしないようにしよう。,active,,,六月中3|前期期末,,,,,,,,
h_june3_020,history,第一次世界大戦とロシア革命,二十一か条の要求,1,choice,日本が二十一か条の要求を出した相手国はどこか。,中国,中国|朝鮮|ロシア|ドイツ,二十一か条の要求は、日本から中国に出された。日本→中国と覚えよう。,active,,,六月中3|前期期末,,,,,,,,
h_june3_021,history,第一次世界大戦とロシア革命,ロシア革命,1,choice,1917年、ロシアで起こった革命を何というか。,ロシア革命,ロシア革命|フランス革命|辛亥革命|名誉革命,1917年、ロシアで起こった革命がロシア革命。第一次世界大戦中の出来事。,active,,,六月中3|前期期末,,,,,,,,
h_june3_022,history,第一次世界大戦とロシア革命,ロシア革命,1,choice,ロシア革命を指導した人物は誰か。,レーニン,レーニン|ウィルソン|原敬|吉野作造,ロシア革命を指導した人物がレーニン。人物名と出来事をセットで覚えよう。,active,,,六月中3|前期期末,,,,,,,,
h_june3_024,history,第一次世界大戦とロシア革命,ロシア革命,1,choice,ロシア革命で重要な役割を果たした、労働者や兵士の代表会議を何というか。,ソビエト,ソビエト|国際連盟|帝国議会|枢密院,ソビエトは、ロシア革命の中でつくられた労働者や兵士の代表会議。,active,,,六月中3|前期期末,,,,,,,,
h_june3_025,history,第一次世界大戦とロシア革命,ロシア革命,2,choice,「ソビエト」の説明として正しいものを選びなさい。,労働者や兵士の代表会議,労働者や兵士の代表会議|各国の外交官の会議|日本の政党の連合|世界平和のための国際機関,ソビエトは国の名前ではなく、労働者や兵士の代表会議のこと。,active,,,六月中3|前期期末,,,,,,,,
h_june3_026,history,第一次世界大戦とロシア革命,シベリア出兵,1,choice,ロシア革命後、日本などがロシア革命の影響が広がるのをおさえるために軍隊を送ったことを何というか。,シベリア出兵,シベリア出兵|満州事変|日露戦争|北清事変,ロシア革命後、日本などがシベリアへ軍隊を送ったことを「シベリア出兵」という。,active,,,六月中3|前期期末,,,,,,,,
h_june3_027,history,第一次世界大戦とロシア革命,シベリア出兵,2,choice,日本などがシベリア出兵を行った主な目的は何か。,ロシア革命の影響が広がるのをおさえるため,ロシア革命の影響が広がるのをおさえるため|中国の義和団を鎮圧するため|朝鮮を植民地にするため|ドイツの南洋諸島を占領するため,ロシア革命の影響がほかの国へ広がることを警戒して、日本などはシベリアへ軍隊を送った。,active,,,六月中3|前期期末,,,,,,,,
h_june3_028,history,第一次世界大戦とロシア革命,ソ連成立,1,choice,1922年に成立した社会主義国はどれか。,ソビエト社会主義共和国連邦,ソビエト社会主義共和国連邦|中華民国|ドイツ帝国|大韓帝国,1922年、ロシアを中心にソビエト社会主義共和国連邦（ソ連）が成立した。,active,,,六月中3|前期期末,,,,,,,,
h_june3_029,history,国際協調と民族運動,パリ講和会議,1,choice,第一次世界大戦後、講和条件を話し合うために開かれた会議は何か。,パリ講和会議,パリ講和会議|ワシントン会議|ポツダム会談|ヤルタ会談,第一次世界大戦後の講和条件を話し合った会議がパリ講和会議。1919年に開かれた。,active,,,六月中3|前期期末,,,,,,,,
h_june3_030,history,国際協調と民族運動,ベルサイユ条約,1,choice,第一次世界大戦後、ドイツと結ばれた講和条約は何か。,ベルサイユ条約,ベルサイユ条約|ポーツマス条約|下関条約|日ソ中立条約,第一次世界大戦後、敗れたドイツとの間で結ばれた講和条約がベルサイユ条約。,active,,,六月中3|前期期末,,,,,,,,
h_june3_031,history,国際協調と民族運動,ベルサイユ条約,2,choice,ベルサイユ条約が結ばれるきっかけとなった戦争はどれか。,第一次世界大戦,第一次世界大戦|日露戦争|日清戦争|第二次世界大戦,ベルサイユ条約は、第一次世界大戦を終わらせるための講和条約の一つ。,active,,,六月中3|前期期末,,,,,,,,
h_june3_032,history,国際協調と民族運動,国際連盟,1,choice,第一次世界大戦後、世界平和を目的としてつくられた国際機関は何か。,国際連盟,国際連盟|国際連合|三国協商|枢軸国,第一次世界大戦後、世界平和を守るためにつくられた国際機関が国際連盟。,active,,,六月中3|前期期末,,,,,,,,
h_june3_033,history,国際協調と民族運動,国際連盟,1,choice,国際連盟の設立を提唱したアメリカ大統領は誰か。,ウィルソン,ウィルソン|レーニン|ルーズベルト|リンカン,アメリカ大統領ウィルソンは、第一次世界大戦後に国際連盟の設立を提唱した。,active,,,六月中3|前期期末,,,,,,,,
h_june3_034,history,国際協調と民族運動,国際連盟,2,choice,ウィルソンが設立を提唱した国際機関はどれか。,国際連盟,国際連盟|国際連合|三国同盟|ソビエト,ウィルソンと国際連盟をセットで覚えよう。ウィルソンはアメリカ大統領。,active,,,六月中3|前期期末,,,,,,,,
h_june3_035,history,国際協調と民族運動,民族自決,1,choice,各民族が自分たちの政治のあり方を自分たちで決めるという考えを何というか。,民族自決,民族自決|民本主義|民主主義|社会主義,民族自決とは、それぞれの民族が自分たちの政治のあり方を自分たちで決めるという考え。,active,,,六月中3|前期期末,,,,,,,,
h_june3_036,history,国際協調と民族運動,民族自決,2,choice,民族自決の考えを唱えた人物は誰か。,ウィルソン,ウィルソン|レーニン|吉野作造|原敬,アメリカ大統領ウィルソンは、民族自決の考えを唱えた。,active,,,六月中3|前期期末,,,,,,,,
h_june3_037,history,国際協調と民族運動,国際連盟,1,choice,国際連盟を提唱したにもかかわらず、国際連盟に加盟しなかった国はどこか。,アメリカ,アメリカ|イギリス|フランス|日本,国際連盟を提唱したのはアメリカのウィルソンだが、アメリカ自身は国際連盟に加盟しなかった。,active,,,六月中3|前期期末,,,,,,,,
h_june3_039,history,国際協調と民族運動,三・一独立運動,1,choice,1919年、朝鮮で起こった日本からの独立を求める運動を何というか。,三・一独立運動,三・一独立運動|五・四運動|米騒動|自由民権運動,1919年、朝鮮で日本からの独立を求めて三・一独立運動が起こった。,active,,,六月中3|前期期末,,,,,,,,
h_june3_040,history,国際協調と民族運動,三・一独立運動,1,choice,三・一独立運動が起こった地域はどこか。,朝鮮,朝鮮|中国|インド|ロシア,三・一独立運動は朝鮮、五・四運動は中国。場所と運動名をセットで覚えよう。,active,,,六月中3|前期期末,,,,,,,,
h_june3_042,history,国際協調と民族運動,五・四運動,1,choice,1919年、中国で起こった反日・反帝国主義の運動を何というか。,五・四運動,五・四運動|三・一独立運動|米騒動|辛亥革命,1919年、中国で日本などへの反発から五・四運動が起こった。,active,,,六月中3|前期期末,,,,,,,,
h_june3_043,history,国際協調と民族運動,五・四運動,1,choice,五・四運動が起こった国はどこか。,中国,中国|朝鮮|日本|ロシア,五・四運動は中国で起こった。朝鮮の三・一独立運動と区別しよう。,active,,,六月中3|前期期末,,,,,,,,
h_june3_045,history,国際協調と民族運動,民族運動,2,choice,三・一独立運動と五・四運動に共通する時期として正しいものはどれか。,第一次世界大戦後,第一次世界大戦後|日清戦争前|明治維新直後|第二次世界大戦後,三・一独立運動と五・四運動は、どちらも第一次世界大戦後の1919年に起こった。,active,,,六月中3|前期期末,,,,,,,,
