questionId,subject,unit,subunit,difficulty,mode,question,answer,choices,explanation,status,answerGroup,relatedQuestionIds,tags,imagePath
chem_001,chemistry,物質の性質,有機物と無機物,1,choice,燃やすと二酸化炭素と水ができる、炭素を含む物質を何というか。,有機物,有機物|無機物|金属|気体,有機物は炭素を含み、燃やすと二酸化炭素と水ができます。,active,,,,
chem_002,chemistry,物質の性質,密度,1,text,物質の質量を体積で割った値を何というか。,密度,,密度は物質1cm3あたりの質量で、物質ごとに決まった値です。,active,,,,
chem_003,chemistry,気体と水溶液,酸素の性質,1,choice,ものを燃やすはたらき(助燃性)がある気体はどれか。,酸素,酸素|二酸化炭素|窒素|水素,酸素にはものを燃やすはたらきがあります。,active,,,,
chem_004,chemistry,気体と水溶液,溶解度,1,text,一定量の水に溶かすことができる物質の限度の量を何というか。,溶解度,,溶解度は水の量や温度によって変化します。,active,,,,
chem_005,chemistry,化学変化と原子・分子,元素記号,1,text,水素を表す元素記号をアルファベット1文字で答えなさい。,H,,水素の元素記号はHです。,active,,,,
chem_006,chemistry,化学変化と原子・分子,化学式,1,text,水の化学式を答えなさい。,H2O,,水は水素原子2個と酸素原子1個からなり、化学式はH2Oです。,active,,,,
chem_007,chemistry,化学変化と原子・分子,質量保存の法則,1,choice,化学変化の前後で物質全体の質量が変わらないことを何の法則というか。,質量保存の法則,質量保存の法則|エネルギー保存の法則|万有引力の法則|作用反作用の法則,化学変化の前後で、関係する物質全体の質量は変化しません。,active,,,,
chem_008,chemistry,酸・アルカリとイオン,pH,1,text,中性の水溶液のpHはいくつか。数字で答えなさい。,7,,pHは0〜14の値で表され、7が中性です。,active,,,,
chem_009,chemistry,酸・アルカリとイオン,中和,1,choice,酸とアルカリを混ぜ合わせ、互いの性質を打ち消し合う反応を何というか。,中和,中和|電離|還元|燃焼,酸とアルカリが反応すると、互いの性質を打ち消し合う中和が起こります。,active,,,,
chem_010,chemistry,電池とイオン,電池のしくみ,1,choice,化学エネルギーを電気エネルギーに変えて取り出す装置を何というか。,電池,電池|発電機|コンデンサー|モーター,電池は物質がもつ化学エネルギーを電気エネルギーに変えて取り出す装置です。,active,,,,
chem_011,chemistry,物質の性質,無機物,1,choice,炭素を含まない物質(二酸化炭素などの例外を除く)を何というか。,無機物,有機物|無機物|混合物|純物質,炭素を含まない物質を無機物といいます(二酸化炭素などは例外的に無機物として扱われます)。,active,,,,
chem_012,chemistry,物質の性質,金属の性質,1,choice,金属に共通する性質はどれか。,電気を通す,電気を通す|水に溶けやすい|燃えやすい|透明である,金属は電気を通しやすい(電気伝導性)という共通の性質をもちます。,active,,,,
chem_013,chemistry,物質の性質,非金属,1,text,金属以外の物質をまとめて何というか。,非金属,,ガラスやプラスチックなど、金属でない物質を非金属といいます。,active,,,,
