questionId,subject,unit,subunit,difficulty,mode,question,answer,choices,explanation,status,answerGroup,relatedQuestionIds,tags,answerAlias,sortGroup,sortItems,eraCorrect,year,documentId,timelineGroup,imagePath
r8_civics_const_001,civics,法に基づく政治と日本国憲法,政治,1,choice,人々の意見や利害の対立を調整し、秩序を守り、私たちの生活をよりよくするはたらき,政治,政治|専制政治|民主主義|法の支配,人々の意見や利害の対立を調整し、社会の秩序を守るはたらきを政治といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_002,civics,法に基づく政治と日本国憲法,専制政治,1,choice,少数の人の意見や利益が優先される政治,専制政治,専制政治|民主主義|立憲主義|権力分立,少数の人の意見や利益が優先される政治を専制政治といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_003,civics,法に基づく政治と日本国憲法,民主主義,1,choice,みんなのことはみんなで決めるという考え方,民主主義,民主主義|専制政治|立憲主義|法の支配,みんなのことはみんなで決めるという考え方が民主主義です。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_004,civics,法に基づく政治と日本国憲法,尊重,1,choice,多数決を用いて結論を出す前に、少数意見の〇〇のために、議論が必要。〇〇に入るのは。,尊重,尊重|効率|公正|権利,多数決で結論を出す前には、少数意見を尊重して議論することが大切です。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_005,civics,法に基づく政治と日本国憲法,最高法規,1,choice,憲法は国の〇〇法規とされている。〇〇に入るのは。,最高,最高|基本|一般|特別,憲法は国の最高法規とされています。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_006,civics,法に基づく政治と日本国憲法,立憲主義,1,choice,権力の濫用を防ごうとする考え方,立憲主義,立憲主義|民主主義|専制政治|権力分立,憲法によって権力を制限し、その濫用を防ごうとする考え方を立憲主義といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_007,civics,法に基づく政治と日本国憲法,基本的人権,1,choice,私たちが人間として自分らしく生きるために必要な権利,基本的人権,基本的人権|参政権|請求権|社会権,人間として自分らしく生きるために必要な権利が基本的人権です。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_008,civics,法に基づく政治と日本国憲法,法の支配,1,choice,権力をもつ人もまた法に従わなければならないという考え方,法の支配,法の支配|人の支配|立憲主義|権力分立,権力をもつ人も法に従わなければならないという考え方を法の支配といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_009,civics,法に基づく政治と日本国憲法,人の支配,1,choice,国王などによって法が制定され、国民が支配するという考え方,人の支配,人の支配|法の支配|民主主義|立憲主義,原プリントではこの説明の答えを「人の支配」としています。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_010,civics,法に基づく政治と日本国憲法,権力分立,1,choice,権力を分割し、たがいに抑制と均衡をはかる工夫,権力分立,権力分立|法の支配|立憲主義|民主主義,権力を分割して互いに抑制と均衡をはかることを権力分立といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_011,civics,法に基づく政治と日本国憲法,大日本帝国憲法,1,choice,1889年に制定された日本で最初の立憲主義の憲法,大日本帝国憲法,大日本帝国憲法|日本国憲法|ワイマール憲法|マグナ＝カルタ,1889年に大日本帝国憲法が制定されました。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_012,civics,法に基づく政治と日本国憲法,天皇主権,1,choice,大日本帝国憲法は主権が天皇にあると考えられていた。このことを何と言うか。,天皇主権,天皇主権|国民主権|基本的人権の尊重|立憲主義,主権が天皇にあるという考えを天皇主権といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_013,civics,法に基づく政治と日本国憲法,日本国憲法,1,choice,1946年11月3日に公布された日本の憲法,日本国憲法,日本国憲法|大日本帝国憲法|ワイマール憲法|アメリカ合衆国憲法,日本国憲法は1946年11月3日に公布されました。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_014,civics,法に基づく政治と日本国憲法,基本原則,1,choice,日本国憲法３つの基本原則,国民主権、基本的人権の尊重、平和主義,国民主権、基本的人権の尊重、平和主義|天皇主権、法の支配、平和主義|国民主権、権力分立、自由主義|基本的人権の尊重、専制政治、平和主義,日本国憲法の3つの基本原則は国民主権、基本的人権の尊重、平和主義です。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_015,civics,法に基づく政治と日本国憲法,憲法改正,1,choice,憲法の内容を変えることを何と言うか,憲法改正,憲法改正|法律改正|国民投票|憲法公布,憲法の内容を変えることを憲法改正といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_016,civics,法に基づく政治と日本国憲法,憲法改正,1,choice,憲法改正の際に、〇歳以上の国民による国民投票が行われる。〇に入る数字は。,18,18|20|25|30,原プリントの答えは18です。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_017,civics,法に基づく政治と日本国憲法,象徴,1,choice,日本国憲法では天皇は日本国と日本国民統合の〇〇である。〇〇に入る言葉は。,象徴,象徴|元首|主権者|代表者,日本国憲法では天皇は日本国と日本国民統合の象徴とされています。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_018,civics,法に基づく政治と日本国憲法,国事行為,1,choice,天皇が行う憲法に定められた内容,国事行為,国事行為|統治行為|行政行為|司法行為,天皇が憲法に定められた形式的・儀礼的な行為を行うことを国事行為といいます。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_019,civics,法に基づく政治と日本国憲法,マグナ＝カルタ,1,choice,1215年にイギリスで制定された憲法,マグナ＝カルタ,マグナ＝カルタ|権利の章典|アメリカ独立宣言|ワイマール憲法,原プリントの答えはマグナ＝カルタです。,active,,,R8|中3|前期期末|原問題,,,,,,,,
r8_civics_const_020,civics,法に基づく政治と日本国憲法,権利の章典,1,choice,1689年イギリスで制定された憲法,権利の章典,権利の章典|マグナ＝カルタ|フランス人権宣言|世界人権宣言,原プリントの答えは権利の章典です。,active,,,R8|中3|前期期末|原問題,,,,,,,,
