questionId,subject,unit,subunit,difficulty,mode,question,answer,choices,explanation,status,answerGroup,relatedQuestionIds,tags
earth_001,earth_science,大地の変化,火山,1,text,地下のマグマが地表に噴き出してできた地形を何というか。,火山,,マグマが地表に噴出することで火山ができます。,active,,,
earth_002,earth_science,地震,震源,1,text,地震が発生した地下の場所を何というか。,震源,,地震が最初に発生した地下の地点を震源といいます。,active,,,
earth_003,earth_science,地震,震央,1,choice,震源の真上にある地表の地点を何というか。,震央,震央|震源|震度|マグニチュード,震源の真上の地表の地点を震央といいます。,active,,,
earth_004,earth_science,地層と化石,示準化石,1,text,地層が堆積した時代を知る手がかりになる化石を何というか。,示準化石,,アンモナイトなど、限られた時代に広く分布した生物の化石を示準化石といいます。,active,,,
earth_005,earth_science,地層と化石,示相化石,1,choice,地層が堆積した当時の環境を知る手がかりになる化石を何というか。,示相化石,示相化石|示準化石|化石燃料|標準化石,サンゴの化石のように、堆積当時の環境を推定できる化石を示相化石といいます。,active,,,
earth_006,earth_science,気象観測,湿度,1,text,空気の湿り具合を百分率で表したものを何というか。,湿度,,湿度は空気中の水蒸気量と飽和水蒸気量の割合で表されます。,active,,,
earth_007,earth_science,気象観測,気圧,1,choice,大気の重さによって生じる圧力を何というか。,気圧,気圧|水圧|浮力|重力,大気の重さによって生じる圧力を気圧(大気圧)といいます。,active,,,
earth_008,earth_science,天気の変化,温暖前線,1,text,暖気が寒気の上にはい上がりながら進む前線を何というか。,温暖前線,,暖気が寒気の上をはい上がるように進む前線を温暖前線といいます。,active,,,
earth_009,earth_science,天体,自転,1,choice,地球が北極と南極を結ぶ軸を中心に1日1回転することを何というか。,自転,自転|公転|日周運動|年周運動,地球が地軸を中心に1日1回転することを自転といいます。,active,,,
earth_010,earth_science,天体,月の満ち欠け,1,text,月が地球のまわりを公転することで、地球から見た月の形が変化して見える現象を何というか。,月の満ち欠け,,月の公転により、太陽の光が当たる部分の見え方が変わり満ち欠けが起こります。,active,,,
earth_011,earth_science,大地の変化,マグマ,1,text,地下で岩石がとけてできた高温の物質を何というか。,マグマ,,地下深くで岩石がとけてできた高温の物質をマグマといいます。,active,,,
earth_012,earth_science,大地の変化,火成岩,1,text,マグマが冷えて固まってできた岩石を何というか。,火成岩,,マグマが冷え固まってできた岩石をまとめて火成岩といいます。,active,,,
earth_013,earth_science,大地の変化,深成岩,1,choice,マグマが地下深くでゆっくり冷えて固まってできた、大きな鉱物の結晶がそろった火成岩を何というか。,深成岩,深成岩|火山岩|堆積岩|変成岩,マグマが地下深くでゆっくり冷えると、大きな結晶がそろった深成岩ができます。,active,,,
earth_014,earth_science,大地の変化,火山岩,1,choice,マグマが地表や地表近くで急に冷えて固まってできた、小さな結晶とガラス質からなる火成岩を何というか。,火山岩,深成岩|火山岩|堆積岩|変成岩,マグマが急に冷えると、小さな結晶が混じった火山岩ができます。,active,,,
earth_015,earth_science,大地の変化,鉱物,1,text,岩石をつくっている、決まった形や色をもつ結晶の粒を何というか。,鉱物,,火成岩はいろいろな種類の鉱物の結晶からできています。,active,,,
earth_016,earth_science,大地の変化,風化,1,text,地表の岩石が、気温の変化や水のはたらきによって表面からもろくなっていく現象を何というか。,風化,,長い間に気温の変化などで岩石がもろくなることを風化といいます。,active,,,
earth_017,earth_science,大地の変化,侵食,1,choice,風化した岩石などが、流水のはたらきで削られることを何というか。,侵食,侵食|風化|運搬|堆積,流水などによって地表が削られることを侵食といいます。,active,,,
earth_018,earth_science,地震,初期微動,1,text,地震が起こったとき、はじめに伝わる小さな揺れを何というか。,初期微動,,P波によって伝わる、はじめの小さな揺れを初期微動といいます。,active,,,
earth_019,earth_science,地震,主要動,1,text,初期微動のあとに伝わる大きな揺れを何というか。,主要動,,S波によって伝わる、初期微動のあとの大きな揺れを主要動といいます。,active,,,
earth_020,earth_science,地震,P波,1,choice,初期微動を伝える、伝わる速さが速い波はどれか。,P波,P波|S波|表面波|衝撃波,伝わる速さが速いP波によって初期微動が起こります。,active,,,
earth_021,earth_science,地震,S波,1,choice,主要動を伝える、P波より伝わる速さが遅い波はどれか。,S波,P波|S波|表面波|衝撃波,P波より遅れて届くS波によって主要動が起こります。,active,,,
earth_022,earth_science,地震,マグニチュード,1,text,地震そのものの規模(エネルギーの大きさ)を表す指標を何というか。,マグニチュード,,マグニチュードは地震の規模を表す指標です(震度とは異なります)。,active,,,
earth_023,earth_science,地震,初期微動継続時間の計算,1,choice,ある地点でP波が9時00分00秒に、S波が9時00分06秒に届いた。初期微動継続時間は何秒か。,6秒,3秒|6秒|9秒|15秒,初期微動継続時間はP波とS波の到着時刻の差なので、9時00分06秒-9時00分00秒=6秒です。,active,,,
earth_024,earth_science,地層と化石,れき岩,1,text,直径2mm以上の粒(れき)が固まってできた堆積岩を何というか。,れき岩,,粒の大きいれきが集まって固まった岩石をれき岩といいます。,active,,,
earth_025,earth_science,地層と化石,砂岩,1,choice,直径0.06mm〜2mmほどの砂の粒が固まってできた堆積岩を何というか。,砂岩,れき岩|砂岩|泥岩|石灰岩,砂の粒が固まってできた岩石を砂岩といいます。,active,,,
earth_026,earth_science,地層と化石,泥岩,1,text,直径0.06mm以下の非常に細かい泥が固まってできた堆積岩を何というか。,泥岩,,粒の非常に細かい泥が固まった岩石を泥岩といいます。,active,,,
earth_027,earth_science,地層と化石,石灰岩,1,choice,サンゴなどの死がいが堆積してでき、うすい塩酸をかけると気体が発生する堆積岩を何というか。,石灰岩,石灰岩|チャート|凝灰岩|花こう岩,石灰岩にうすい塩酸をかけると二酸化炭素が発生します。,active,,,
earth_028,earth_science,地層と化石,断層,1,text,地層に力がはたらき、地層が切れてずれることを何というか。,断層,,地層に大きな力がはたらいてずれた部分を断層といいます。,active,,,
earth_029,earth_science,地層と化石,しゅう曲,1,text,地層に力がはたらき、地層が波打つように曲がったものを何というか。,しゅう曲,,地層が押されて波打つように曲がったものをしゅう曲といいます。,active,,,
earth_030,earth_science,気象観測,露点,1,text,空気が冷やされて、水蒸気が水滴に変わり始めるときの温度を何というか。,露点,,空気を冷やしていくと、露点で水蒸気が凝結し始めます。,active,,,
earth_031,earth_science,気象観測,飽和水蒸気量,1,text,空気1m3が含むことができる水蒸気量の最大値を何というか。,飽和水蒸気量,,飽和水蒸気量は気温が高いほど大きくなります。,active,,,
